run_id,val_bpb,binary_string,head_commit,base_commit,added_lines,deleted_lines,changed_lines,train_total_lines,change_ratio,diff_hash,method,error
72,1.12808294,001001,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
73,1.14149117,101000,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
74,1.10953732,110010,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
75,1.10253428,111110,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
76,1.10887476,100010,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
77,1.09333944,110110,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
78,1.08973233,001111,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
79,1.10334966,000000,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
80,1.10200048,101111,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
81,1.08968366,001111,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
82,1.08310275,000100,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
83,1.08968137,110111,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
84,1.10037872,010001,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
85,1.10930033,110011,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
86,1.08419334,010100,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
87,1.10171263,110101,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
88,1.08707894,010011,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
89,1.10465610,001100,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
90,1.10339402,100100,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
91,1.08475706,010011,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
92,1.07412106,000110,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
93,1.07625563,000101,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
94,1.10484281,011100,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
95,1.09242268,110110,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
96,1.09109107,001110,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
97,1.07178026,000111,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
98,1.07319296,010110,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
99,1.11129228,101101,4629914,228791f,0,0,0,765,0.00000000,e3b0c44298fc1c14,git_head_to_prev,
