run_id,val_bpb,binary_string,norm_type_choice,attention_type_choice,mlp_type_choice,value_embeddings_choice,qk_norm_choice,rope_base_choice,norm_type_one_frequency,attention_type_one_frequency,mlp_type_one_frequency,value_embeddings_one_frequency,qk_norm_one_frequency,rope_base_one_frequency
40,1.11052368,100011,LayerNorm,StandardAttention,ReLU2MLP,NoValueEmbeddings,UseQKNorm,RoPEBase50k,0.45000000,0.57500000,0.37500000,0.60000000,0.55000000,0.52500000
41,1.06992156,000111,RMSNorm,StandardAttention,ReLU2MLP,UseValueEmbeddings,UseQKNorm,RoPEBase50k,0.43902439,0.56097561,0.36585366,0.60975610,0.56097561,0.53658537
42,1.11269678,101100,LayerNorm,StandardAttention,SwiGLUMLP,UseValueEmbeddings,NoQKNorm,RoPEBase10k,0.45238095,0.54761905,0.38095238,0.61904762,0.54761905,0.52380952
43,1.10503290,011100,RMSNorm,SlidingWindowAttention,SwiGLUMLP,UseValueEmbeddings,NoQKNorm,RoPEBase10k,0.44186047,0.55813953,0.39534884,0.62790698,0.53488372,0.51162791
44,1.07527225,010111,RMSNorm,SlidingWindowAttention,ReLU2MLP,UseValueEmbeddings,UseQKNorm,RoPEBase50k,0.43181818,0.56818182,0.38636364,0.63636364,0.54545455,0.52272727
45,1.10499026,001101,RMSNorm,StandardAttention,SwiGLUMLP,UseValueEmbeddings,NoQKNorm,RoPEBase50k,0.42222222,0.55555556,0.40000000,0.64444444,0.53333333,0.53333333
46,1.08691824,000010,RMSNorm,StandardAttention,ReLU2MLP,NoValueEmbeddings,UseQKNorm,RoPEBase10k,0.41304348,0.54347826,0.39130435,0.63043478,0.54347826,0.52173913
47,1.10486090,011100,RMSNorm,SlidingWindowAttention,SwiGLUMLP,UseValueEmbeddings,NoQKNorm,RoPEBase10k,0.40425532,0.55319149,0.40425532,0.63829787,0.53191489,0.51063830
48,1.10372347,001010,RMSNorm,StandardAttention,SwiGLUMLP,NoValueEmbeddings,UseQKNorm,RoPEBase10k,0.39583333,0.54166667,0.41666667,0.62500000,0.54166667,0.50000000
49,1.07773485,010100,RMSNorm,SlidingWindowAttention,ReLU2MLP,UseValueEmbeddings,NoQKNorm,RoPEBase10k,0.38775510,0.55102041,0.40816327,0.63265306,0.53061224,0.48979592
50,1.10489790,100100,LayerNorm,StandardAttention,ReLU2MLP,UseValueEmbeddings,NoQKNorm,RoPEBase10k,0.40000000,0.54000000,0.40000000,0.64000000,0.52000000,0.48000000
