run_id,val_bpb,improved,best_val_bpb,embedding_lr,unembedding_lr,matrix_lr,scalar_lr,weight_decay,adam_beta1,adam_beta2,warmup_ratio,warmdown_ratio,dropout
22,1.10243390,0,1.09083451,0.4226617827,0.0152238095,0.0689010989,0.6935409035,0.2958485958,0.7240683761,0.9337238095,0.0590476190,0.5592918193,0.2470329670
23,1.11826857,0,1.09083451,1.0924420024,0.0061666667,0.0695604396,0.6450549451,0.3460317460,0.8909157509,0.9958708181,0.1032967033,0.2754334554,0.3164835165
24,1.10050093,0,1.09083451,0.4754578755,0.0158571429,0.0290476190,0.7016605617,0.3903540904,0.8618705739,0.9192786325,0.2778021978,0.2025641026,0.0243223443
25,1.13303115,0,1.09083451,0.4678754579,0.0019523810,0.0634615385,0.3655067155,0.4400488400,0.6856507937,0.9925233211,0.2132600733,0.4588766789,0.2965567766
26,1.10022569,0,1.09083451,0.2019291819,0.0137761905,0.0362637363,0.2395360195,0.1914529915,0.8465592186,0.9099274725,0.2429304029,0.6585347985,0.1233699634
27,1.08980307,1,1.08980307,0.7714529915,0.0154809524,0.0466849817,0.2119291819,0.3410256410,0.6012063492,0.8558581197,0.1138461538,0.8431501832,0.0266666667
28,1.09625935,0,1.08980307,0.3170695971,0.0154428571,0.0541758242,0.7473626374,0.1477411477,0.7030964591,0.8676835165,0.0205128205,0.8136507937,0.1948717949
29,1.11206988,0,1.08980307,0.7189377289,0.0140857143,0.0431684982,0.7257875458,0.1521367521,0.7539487179,0.8926078144,0.2261538462,0.8910134310,0.3032967033
30,1.09794571,0,1.08980307,0.0811721612,0.0170428571,0.0553296703,0.7014285714,0.3376068376,0.8512918193,0.9457311355,0.1576556777,0.8402197802,0.0310622711
31,1.11262984,0,1.08980307,0.7234310134,0.0109761905,0.0197069597,0.7313553114,0.1378510379,0.9076190476,0.9732024420,0.0109890110,0.3670573871,0.0467887668
32,1.10729152,0,1.08980307,0.4240659341,0.0167476190,0.0667582418,0.4422954823,0.2448107448,0.7507936508,0.9949611722,0.2286446886,0.3399023199,0.2080586081
33,1.11439398,0,1.08980307,0.3841880342,0.0196761905,0.0391025641,0.4692063492,0.4404151404,0.8904517705,0.8979565324,0.2986080586,0.5563614164,0.2622710623
34,1.11479878,0,1.08980307,0.7832478632,0.0045523810,0.0552014652,0.5580586081,0.0332112332,0.7527423687,0.9352520147,0.2262271062,0.2412454212,0.3172649573
35,1.11378064,0,1.08980307,0.6080097680,0.0182047619,0.0334981685,0.0641514042,0.2785103785,0.9568009768,0.8652820513,0.2286446886,0.3070818071,0.1159462759
36,1.13699782,0,1.08980307,0.7237118437,0.0065809524,0.0083699634,0.3297802198,0.0637362637,0.7505152625,0.9412192918,0.2304029304,0.5405372405,0.1726007326
37,1.09794788,0,1.08980307,0.4616971917,0.0137714286,0.0661538462,0.0671672772,0.0898656899,0.6994774115,0.9812800977,0.0942857143,0.6628327228,0.1633211233
38,1.09333900,0,1.08980307,0.5543711844,0.0194047619,0.0436446886,0.8603418803,0.0788766789,0.6166105006,0.9931782662,0.1079120879,0.6989743590,0.0159218559
39,1.09822088,0,1.08980307,0.3580708181,0.0100428571,0.0348717949,0.5891452991,0.2411477411,0.6833308913,0.8713948718,0.1273260073,0.1703296703,0.0850793651
40,1.09512297,0,1.08980307,0.5894749695,0.0123523810,0.0515384615,0.8519902320,0.3716727717,0.8000683761,0.8565130647,0.1208791209,0.4657142857,0.1442735043
41,1.10342852,0,1.08980307,1.1387789988,0.0096571429,0.0431318681,0.9972161172,0.4041514042,0.8097191697,0.9438026862,0.2974358974,0.5940659341,0.1960439560
42,1.16220435,0,1.08980307,0.0522466422,0.0005571429,0.0363369963,0.5497069597,0.2289377289,0.7404004884,0.9260100122,0.1953846154,0.2017826618,0.1282539683
43,1.13175115,0,1.08980307,0.5161782662,0.0011809524,0.0523076923,0.6775335775,0.3905982906,0.6867643468,0.9884481074,0.1898168498,0.8337728938,0.0033211233
44,1.10701580,0,1.08980307,0.9722466422,0.0060238095,0.0765750916,0.5794017094,0.4389499389,0.6499242979,0.9037054945,0.2557509158,0.3791697192,0.1777777778
45,1.09858082,0,1.08980307,1.1853968254,0.0107047619,0.0207875458,0.8721733822,0.4610500611,0.6325714286,0.8691389499,0.0888644689,0.4102319902,0.0786324786
46,1.10357711,0,1.08980307,0.7341025641,0.0101761905,0.0687912088,0.3151648352,0.0253968254,0.8084200244,0.9189147741,0.2378021978,0.1054700855,0.0268620269
47,1.11349314,0,1.08980307,0.9820757021,0.0181904762,0.0569780220,0.9517460317,0.2578754579,0.6424078144,0.9205521368,0.2826373626,0.6059829060,0.2974358974
48,1.09135730,0,1.08980307,0.4058119658,0.0104904762,0.0773809524,0.7868009768,0.1802197802,0.8558388278,0.8947545788,0.1136263736,0.4436385836,0.0348717949
49,1.11800857,0,1.08980307,0.5319047619,0.0057809524,0.0405128205,0.3880097680,0.0470085470,0.7935726496,0.8730686203,0.0020512821,0.1623199023,0.3808547009
50,1.10549729,0,1.08980307,0.8964224664,0.0197714286,0.0559340659,0.1813064713,0.2421245421,0.6729377289,0.8618253968,0.0463003663,0.1384859585,0.0803907204
51,1.11771820,0,1.08980307,0.6726007326,0.0178857143,0.0341575092,0.6350793651,0.0516483516,0.6674627595,0.9086539683,0.0660805861,0.7364835165,0.3131623932
52,1.09595953,0,1.08980307,0.4251892552,0.0133333333,0.0322344322,0.0799267399,0.0831501832,0.7901391941,0.9292847375,0.0104761905,0.1906471306,0.0084004884
53,1.10538054,0,1.08980307,0.3855921856,0.0142190476,0.0554212454,0.7571062271,0.4875457875,0.8820073260,0.8762341880,0.0496703297,0.6831501832,0.2285714286
54,1.12048896,0,1.08980307,0.8919291819,0.0037000000,0.0476373626,0.8675335775,0.2290598291,0.9433455433,0.9891394383,0.0953113553,0.6876434676,0.3091575092
55,1.09908253,0,1.08980307,0.1746886447,0.0171857143,0.0485347985,0.4242002442,0.2739926740,0.8604786325,0.9553369963,0.0785347985,0.5530402930,0.1783638584
