run,val_bpb,peak_vram_mb,training_seconds,total_seconds,status,binary_string,norm_type,attention_type,mlp_type,value_embeddings,qk_norm,rope_base
52,1.09152000,51030.500,300.600,331.800,ok,110110,LayerNorm,SlidingWindowAttention,ReLU2MLP,UseValueEmbeddings,UseQKNorm,RoPEBase10k
53,1.07697600,40852.500,300.200,330.200,ok,000101,RMSNorm,StandardAttention,ReLU2MLP,UseValueEmbeddings,NoQKNorm,RoPEBase50k
54,1.06985300,45012.500,300.300,330.500,ok,000111,RMSNorm,StandardAttention,ReLU2MLP,UseValueEmbeddings,UseQKNorm,RoPEBase50k
55,1.08535600,43852.500,300.400,329.800,ok,010011,RMSNorm,SlidingWindowAttention,ReLU2MLP,NoValueEmbeddings,UseQKNorm,RoPEBase50k
56,1.09071200,51030.500,300.200,331.900,ok,110111,LayerNorm,SlidingWindowAttention,ReLU2MLP,UseValueEmbeddings,UseQKNorm,RoPEBase50k
57,1.09780600,39692.500,300.400,329.600,ok,000001,RMSNorm,StandardAttention,ReLU2MLP,NoValueEmbeddings,NoQKNorm,RoPEBase50k
58,1.11044300,49806.500,300.100,331.500,ok,110010,LayerNorm,SlidingWindowAttention,ReLU2MLP,NoValueEmbeddings,UseQKNorm,RoPEBase10k
59,1.10245000,59333.500,300.600,335.300,ok,101111,LayerNorm,StandardAttention,SwiGLUMLP,UseValueEmbeddings,UseQKNorm,RoPEBase50k
60,1.07670000,40852.500,300.300,330.500,ok,000101,RMSNorm,StandardAttention,ReLU2MLP,UseValueEmbeddings,NoQKNorm,RoPEBase50k
61,1.06792100,45012.500,300.200,330.300,ok,010111,RMSNorm,SlidingWindowAttention,ReLU2MLP,UseValueEmbeddings,UseQKNorm,RoPEBase50k
62,1.10292100,46806.500,300.600,331.800,ok,100100,LayerNorm,StandardAttention,ReLU2MLP,UseValueEmbeddings,NoQKNorm,RoPEBase10k
63,1.06966000,45012.500,300.100,330.500,ok,000111,RMSNorm,StandardAttention,ReLU2MLP,UseValueEmbeddings,UseQKNorm,RoPEBase50k
64,1.07094000,45012.500,300.100,330.400,ok,010111,RMSNorm,SlidingWindowAttention,ReLU2MLP,UseValueEmbeddings,UseQKNorm,RoPEBase50k
65,1.13024500,45582.500,300.200,344.000,ok,100000,LayerNorm,StandardAttention,ReLU2MLP,NoValueEmbeddings,NoQKNorm,RoPEBase10k
66,1.10492800,49155.500,300.500,333.300,ok,001101,RMSNorm,StandardAttention,SwiGLUMLP,UseValueEmbeddings,NoQKNorm,RoPEBase50k
67,1.08990200,53315.500,300.300,333.100,ok,011111,RMSNorm,SlidingWindowAttention,SwiGLUMLP,UseValueEmbeddings,UseQKNorm,RoPEBase50k
68,1.08989300,53315.500,300.500,334.100,ok,011111,RMSNorm,SlidingWindowAttention,SwiGLUMLP,UseValueEmbeddings,UseQKNorm,RoPEBase50k
69,1.09090500,53315.500,300.500,334.000,ok,011110,RMSNorm,SlidingWindowAttention,SwiGLUMLP,UseValueEmbeddings,UseQKNorm,RoPEBase10k
70,1.10265900,52155.500,300.300,333.000,ok,011011,RMSNorm,SlidingWindowAttention,SwiGLUMLP,NoValueEmbeddings,UseQKNorm,RoPEBase50k
71,1.10323100,52155.500,300.100,333.400,ok,001010,RMSNorm,StandardAttention,SwiGLUMLP,NoValueEmbeddings,UseQKNorm,RoPEBase10k
72,1.12808300,47995.500,300.000,332.300,ok,001001,RMSNorm,StandardAttention,SwiGLUMLP,NoValueEmbeddings,NoQKNorm,RoPEBase50k
73,1.14149100,53885.500,300.000,333.600,ok,101000,LayerNorm,StandardAttention,SwiGLUMLP,NoValueEmbeddings,NoQKNorm,RoPEBase10k
74,1.10953700,49806.500,300.200,331.200,ok,110010,LayerNorm,SlidingWindowAttention,ReLU2MLP,NoValueEmbeddings,UseQKNorm,RoPEBase10k
75,1.10253400,59333.500,300.200,334.600,ok,111110,LayerNorm,SlidingWindowAttention,SwiGLUMLP,UseValueEmbeddings,UseQKNorm,RoPEBase10k
76,1.10887500,49806.500,300.600,331.300,ok,100010,LayerNorm,StandardAttention,ReLU2MLP,NoValueEmbeddings,UseQKNorm,RoPEBase10k
77,1.09333900,51030.500,300.500,331.900,ok,110110,LayerNorm,SlidingWindowAttention,ReLU2MLP,UseValueEmbeddings,UseQKNorm,RoPEBase10k
78,1.08973200,53315.500,300.200,333.300,ok,001111,RMSNorm,StandardAttention,SwiGLUMLP,UseValueEmbeddings,UseQKNorm,RoPEBase50k
79,1.10335000,39692.500,300.600,329.800,ok,000000,RMSNorm,StandardAttention,ReLU2MLP,NoValueEmbeddings,NoQKNorm,RoPEBase10k
80,1.10200000,59333.500,300.200,334.300,ok,101111,LayerNorm,StandardAttention,SwiGLUMLP,UseValueEmbeddings,UseQKNorm,RoPEBase50k
81,1.08968400,53315.500,300.700,333.600,ok,001111,RMSNorm,StandardAttention,SwiGLUMLP,UseValueEmbeddings,UseQKNorm,RoPEBase50k
82,1.08310300,40852.500,300.400,330.100,ok,000100,RMSNorm,StandardAttention,ReLU2MLP,UseValueEmbeddings,NoQKNorm,RoPEBase10k
83,1.08968100,51030.500,300.200,331.500,ok,110111,LayerNorm,SlidingWindowAttention,ReLU2MLP,UseValueEmbeddings,UseQKNorm,RoPEBase50k
84,1.10037900,39692.500,300.500,329.800,ok,010001,RMSNorm,SlidingWindowAttention,ReLU2MLP,NoValueEmbeddings,NoQKNorm,RoPEBase50k
85,1.10930000,49806.500,300.400,331.600,ok,110011,LayerNorm,SlidingWindowAttention,ReLU2MLP,NoValueEmbeddings,UseQKNorm,RoPEBase50k
86,1.08419300,40852.500,300.500,330.500,ok,010100,RMSNorm,SlidingWindowAttention,ReLU2MLP,UseValueEmbeddings,NoQKNorm,RoPEBase10k
87,1.10171300,46806.500,300.400,331.200,ok,110101,LayerNorm,SlidingWindowAttention,ReLU2MLP,UseValueEmbeddings,NoQKNorm,RoPEBase50k
88,1.08707900,43852.500,300.400,330.000,ok,010011,RMSNorm,SlidingWindowAttention,ReLU2MLP,NoValueEmbeddings,UseQKNorm,RoPEBase50k
